01-28-2015 10:43 (00:27) dpenarom 261492311202000011102 1H Chloroform-d VT=No None
01-28-2015 10:49 (00:05) svilanov 3414043503010001 1H|31P Benzene-d6 VT=No None
01-28-2015 11:28 (00:25) sbrown3 2018573503020000 1H Chloroform-d VT=No None
01-28-2015 11:41 (00:07) gshaw1 2019423503020000 1H Chloroform-d VT=No None
01-28-2015 12:11 (00:27) jkessle2 3414043503010001 1H|31P Benzene-d6 VT=No None
01-28-2015 12:41 (00:08) lkiefer1 3720133503010001 1H Chloroform-d VT=No None
01-28-2015 13:19 (00:35) lsun4 3500713112010001 1H DMSO VT=No None
01-28-2015 13:21 (00:01) lsun4 3500713112010001 1H DMSO VT=No None
01-28-2015 14:02 (00:06) xwang26 3414033503010001 1H Chloroform-d VT=No None
01-28-2015 15:09 (00:19) gliu3 3720133503010001 1H|13C Chloroform-d|Other VT=No None
01-28-2015 15:13 (00:03) moneill9 2018973503020000 1H Chloroform-d VT=No None
01-28-2015 16:18 (00:44) xwang33 3830603500010001 1H|13C Chloroform-d|Other VT=No None
01-28-2015 17:00 (00:28) kwatson2 3301983503010001 1H|13C Chloroform-d VT=No None
01-28-2015 17:08 (00:06) monders 2018573503020000 1H Chloroform-d VT=No None
01-28-2015 17:29 (00:13) jedman1 3414043503010001 1H|31P Benzene-d6 VT=No None
01-28-2015 18:02 (00:25) dpenarom 261492311202000011102 1H Chloroform-d VT=No None
01-28-2015 19:00 (00:26) lwoods4 2016383503020000 1H Chloroform-d|Other VT=No None
01-28-2015 20:20 (00:05) alepore 2018953503020000 1H Chloroform-d VT=No None
01-29-2015 08:32 (00:09) lgray1 2019423503020000 1H Chloroform-d|D2O VT=No None
01-29-2015 11:04 (02:04) lsun4 3500713112010001 1H DMSO VT=70 None
01-29-2015 11:46 (00:12) sbrown3 2018573503020000 1H Chloroform-d VT=No None
01-29-2015 12:06 (00:18) mahlers 2016383503020000 1H Chloroform-d VT=No None
01-29-2015 14:56 (02:09) sseo3 2618263101020000 1H|19F DMSO VT=60 None
01-29-2015 16:19 (00:04) xwang26 3414033503010001 1H Chloroform-d VT=No None
01-29-2015 17:03 (00:14) jcipress 2018573503020000 1H Chloroform-d VT=No None
01-29-2015 18:24 (00:04) mgrigalu 2018973503020000 1H Chloroform-d VT=No None
01-29-2015 19:06 (00:26) dbabbini 3414043503010001 1H|31P Chloroform-d|Benzene-d6 VT=No None
